id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
2218b468-92a8-11ee-8750-0242ac1c000c,565,1bc2f768-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,other,0.0
2218c5e8-92a8-11ee-8750-0242ac1c000c,574,1bc2f768-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,other,0.0
2218d8da-92a8-11ee-8750-0242ac1c000c,753,1bb65cce-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
2218ea78-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,26,0.3,α-TE,raw,0.3
2218fe5a-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,27,0.3,mg/100g,raw,0.3
22191034-92a8-11ee-8750-0242ac1c000c,574,1bb65cce-92a8-11ee-8750-0242ac1c000c,41,0.06,mg/100g,raw,0.06
221922c2-92a8-11ee-8750-0242ac1c000c,474,1bb65cce-92a8-11ee-8750-0242ac1c000c,238,80.0,mg/100g,raw,80.0
22193410-92a8-11ee-8750-0242ac1c000c,556,1bb65cce-92a8-11ee-8750-0242ac1c000c,248,140.0,mg/100g,raw,140.0
221945e0-92a8-11ee-8750-0242ac1c000c,484,1bb65cce-92a8-11ee-8750-0242ac1c000c,251,65.0,mg/100g,raw,65.0
2219574c-92a8-11ee-8750-0242ac1c000c,570,1bb65cce-92a8-11ee-8750-0242ac1c000c,252,120.0,mg/100g,raw,120.0
221968f4-92a8-11ee-8750-0242ac1c000c,753,1bb65cce-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
22197ad8-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,26,0.25,α-TE,,0.25
22198d48-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,27,0.25,mg/100g,,0.25
22199f2c-92a8-11ee-8750-0242ac1c000c,574,1bb65cce-92a8-11ee-8750-0242ac1c000c,41,0.11,mg/100g,,0.11
2219b066-92a8-11ee-8750-0242ac1c000c,474,1bb65cce-92a8-11ee-8750-0242ac1c000c,238,67.0,mg/100g,,67.0
2219c33a-92a8-11ee-8750-0242ac1c000c,556,1bb65cce-92a8-11ee-8750-0242ac1c000c,248,110.0,mg/100g,,110.0
2219d460-92a8-11ee-8750-0242ac1c000c,484,1bb65cce-92a8-11ee-8750-0242ac1c000c,251,54.0,mg/100g,,54.0
2219e6b2-92a8-11ee-8750-0242ac1c000c,570,1bb65cce-92a8-11ee-8750-0242ac1c000c,252,100.0,mg/100g,,100.0
2219f882-92a8-11ee-8750-0242ac1c000c,753,1bb65cce-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221a0a34-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,raw,0.0
221a1c54-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,raw,0.0
