id,name,name_scientific,wikipedia_id,food_group,food_subgroup,food_type,culinarydb_ingredient_id,foodb_id
1badc73a-92a8-11ee-8750-0242ac1c000c,Lemon balm,Melissa officinalis,Melissa officinalis,Herbs and Spices,Herbs,Type 1,260,108
1bade2ec-92a8-11ee-8750-0242ac1c000c,Rosemary,Rosmarinus officinalis,Rosemary,Herbs and Spices,Herbs,Type 1,264,159
1badfd86-92a8-11ee-8750-0242ac1c000c,Spearmint,Mentha spicata,Spearmint,Herbs and Spices,Herbs,Type 1,266,112
1bae1adc-92a8-11ee-8750-0242ac1c000c,Tarragon,Artemisia dracunculus,Artemisia_dracunculus,Herbs and Spices,Herbs,Type 1,268,19
1bae36ca-92a8-11ee-8750-0242ac1c000c,Processed cheese,,Processed_cheese,Milk and milk products,Fermented milk products,Type 2,271,735
1bae51dc-92a8-11ee-8750-0242ac1c000c,Chicken,Gallus gallus,Chicken,Animal foods,Poultry,Type 1,272,334
1bae6dd4-92a8-11ee-8750-0242ac1c000c,Turkey,Meleagris gallopavo,Meleagris_gallopavo,Animal foods,Poultry,Type 1,280,505
1bae89f4-92a8-11ee-8750-0242ac1c000c,Almond,Prunus dulcis,Prunus_dulcis,Nuts,Nuts,Type 1,281,148
1baea6fa-92a8-11ee-8750-0242ac1c000c,Brazil nut,Bertholletia excelsa,Brazil nut,Nuts,Nuts,Type 1,282,24
1baec20c-92a8-11ee-8750-0242ac1c000c,Lima bean,Phaseolus lunatus,Phaseolus lunatus,Pulses,Beans,Type 1,285,133
1baede40-92a8-11ee-8750-0242ac1c000c,Peanut,Arachis hypogaea,Mr. Peanut,Nuts,Nuts,Type 1,287,16
1baef9ca-92a8-11ee-8750-0242ac1c000c,Soy bean,Glycine max,Soybean,Soy,Soy,Type 1,289,85
1baf143c-92a8-11ee-8750-0242ac1c000c,Soybean oil,,,Herbs and Spices,Oilseed crops,Type 2,290,946
1baf3016-92a8-11ee-8750-0242ac1c000c,Hazelnut,Corylus,Hazelnut,Nuts,Nuts,Type 1,293,381
1baf4df8-92a8-11ee-8750-0242ac1c000c,Macadamia nut,Macadamia,Macadamia_nut,Nuts,Nuts,Type 1,294,536
1baf69c8-92a8-11ee-8750-0242ac1c000c,Walnut,Juglans,Walnut,Nuts,Nuts,Type 1,297,622
1baf841c-92a8-11ee-8750-0242ac1c000c,Marshmallow,,Marshmallow,Confectioneries,Candies,Type 2,298,683
1bafa064-92a8-11ee-8750-0242ac1c000c,Sesame,Sesamum orientale,Sesame,Herbs and Spices,Oilseed crops,Type 1,299,170
1bafbca2-92a8-11ee-8750-0242ac1c000c,Allium,Allium,Allium haematochiton,Vegetables,Onion-family vegetables,Type 1,300,5
1bafd660-92a8-11ee-8750-0242ac1c000c,Rapini,Brassica ruvo,Rapini,Vegetables,Cabbages,Type 1,301,314
1baff492-92a8-11ee-8750-0242ac1c000c,Cherimoya,Annona cherimola,Cherimoya,Fruits,Tropical fruits,Type 1,302,331
1bb010e4-92a8-11ee-8750-0242ac1c000c,Chicory,Cichorium intybus,Chicory,Vegetables,Root vegetables,Type 1,303,49
